temp,soil,crop
33,318,Bean
33,319,Bean
33,320,Bean
33,321,Bean
33,322,Bean
33,323,Bean
33,324,Bean
33,325,Bean
33,326,Bean
33,327,Bean
33,328,Bean
33,329,Bean
33,330,Bean
33,331,Bean
33,332,Bean
33,333,Bean
33,334,Bean
33,335,Bean
33,336,Bean
33,337,Bean
33,338,Bean
33,339,Bean
33,340,Bean
33,341,Bean
33,342,Bean
33,343,Bean
33,344,Bean
33,345,Bean
33,346,Bean
33,347,Bean
33,348,Bean
33,349,Bean
33,350,Bean..Pepper
33,351,"Bean,Pepper"
33,352,"Bean,Pepper"
33,353,"Bean,Pepper"
33,354,"Bean,Pepper"
33,355,"Bean,Pepper"
33,356,"Bean,Pepper"
33,357,"Bean,Pepper"
33,358,"Bean,Pepper"
33,359,"Bean,Pepper"
33,360,"Bean,Pepper"
33,361,"Bean,Pepper"
33,362,"Bean,Pepper"
33,363,"Bean,Pepper"
33,364,"Bean,Pepper"
33,365,"Bean,Pepper"
33,366,"Bean,Pepper"
33,367,"Bean,Pepper"
33,368,"Bean,Pepper"
33,369,"Bean,Pepper"
33,370,"Bean,Pepper"
33,371,"Bean,Pepper"
33,372,"Bean,Pepper"
33,373,"Bean,Pepper"
33,374,"Bean,Pepper"
33,375,"Bean,Pepper"
33,376,"Bean,Pepper"
33,377,"Bean,Pepper"
33,378,"Bean,Pepper"
33,379,"Bean,Pepper"
33,380,"Bean,Pepper"
33,381,"Bean,Pepper"
33,382,"Bean,Pepper"
33,383,"Bean,Pepper"
33,384,"Bean,Pepper"
33,385,"Bean,Pepper"
33,386,"Bean,Pepper"
33,387,"Bean,Pepper"
33,388,"Bean,Pepper"
33,389,"Bean,Pepper"
33,390,"Bean,Pepper"
33,391,"Bean,Pepper"
33,392,"Bean,Pepper"
33,393,"Bean,Pepper"
33,394,"Bean,Pepper"
33,395,"Bean,Pepper"
33,396,"Bean,Pepper"
33,397,"Bean,Pepper"
33,398,"Bean,Pepper"
33,399,"Bean,Pepper"
33,400,"Bean,Pepper"
33,401,"Bean,Pepper"
33,402,"Bean,Pepper"
33,403,"Bean,Pepper"
33,404,"Bean,Pepper"
33,405,"Bean,Pepper"
33,406,"Bean,Pepper"
33,407,"Bean,Pepper"
33,408,"Bean,Pepper"
33,409,"Bean,Pepper"
33,410,"Bean,Pepper"
33,411,"Bean,Pepper"
33,412,"Bean,Pepper"
33,413,"Bean,Pepper"
33,414,"Bean,Pepper"
33,415,"Bean,Pepper"
33,416,"Bean,Pepper"
33,417,"Bean,Pepper"
33,418,"Bean,Pepper"
33,419,"Bean,Pepper"
33,420,"Bean,Pepper"
33,421,"Bean,Pepper"
33,422,"Bean,Pepper"
33,423,"Bean,Pepper"
33,424,"Bean,Pepper"
33,425,"Bean,Pepper"
33,426,"Bean,Pepper"
33,427,"Bean,Pepper"
33,428,"Bean,Pepper"
33,429,"Bean,Pepper"
33,430,"Bean,Pepper"
33,431,"Bean,Pepper"
33,432,"Bean,Pepper"
33,433,"Bean,Pepper"
33,434,"Bean,Pepper"
33,435,"Bean,Pepper"
33,436,"Bean,Pepper"
33,437,"Bean,Pepper"
33,438,"Bean,Pepper"
33,439,"Bean,Pepper"
33,440,"Bean,Pepper"
33,441,"Bean,Pepper"
33,442,"Bean,Pepper"
33,443,"Bean,Pepper"
33,444,"Bean,Pepper"
33,445,"Bean,Pepper"
33,446,"Bean,Pepper"
33,447,"Bean,Pepper"
33,448,"Bean,Pepper"
33,449,"Bean,Pepper"
33,450,"Bean,Pepper"
33,451,"Bean,Pepper"
33,452,"Bean,Pepper"
33,453,"Bean,Pepper"
33,454,"Bean,Pepper"
33,455,"Bean,Pepper"
33,456,"Bean,Pepper"
33,457,"Bean,Pepper"
33,458,"Bean,Pepper"
33,459,"Bean,Pepper"
33,460,"Bean,Pepper"
33,461,"Bean,Pepper"
33,462,"Bean,Pepper"
33,463,"Bean,Pepper"
33,464,"Bean,Pepper"
33,465,"Bean,Pepper"
33,466,"Bean,Pepper"
33,467,"Bean,Pepper"
33,468,"Bean,Pepper"
33,469,"Bean,Pepper"
33,470,"Bean,Pepper"
33,471,"Bean,Pepper"
33,472,"Bean,Pepper"
33,473,"Bean,Pepper"
33,474,"Bean,Pepper"
33,475,"Bean,Pepper"
33,476,"Bean,Pepper"
33,477,"Bean,Pepper"
33,478,"Bean,Pepper"
33,479,"Bean,Pepper"
33,480,"Bean,Pepper"
33,481,"Bean,Pepper"
33,482,"Bean,Pepper"
33,483,"Bean,Pepper"
33,484,"Bean,Pepper"
33,485,"Bean,Pepper"
33,486,"Bean,Pepper"
33,487,"Bean,Pepper"
33,488,"Bean,Pepper"
33,489,"Bean,Pepper"
33,490,"Bean,Pepper"
33,491,"Bean,Pepper"
33,492,"Bean,Pepper"
33,493,"Bean,Pepper"
33,494,"Bean,Pepper"
33,495,"Bean,Pepper"
33,496,"Bean,Pepper"
33,497,"Bean,Pepper"
33,498,"Bean,Pepper"
33,499,"Bean,Pepper"
33,500,"Bean,Pepper"
33,501,"Rice,Pepper"
33,502,"Rice,Pepper"
33,503,"Rice,Pepper"
33,504,"Rice,Pepper"
33,505,"Rice,Pepper"
33,506,"Rice,Pepper"
33,507,"Rice,Pepper"
33,508,"Rice,Pepper"
33,509,"Rice,Pepper"
33,510,"Rice,Pepper"
33,511,"Rice,Pepper"
33,512,"Rice,Pepper"
33,513,"Rice,Pepper"
33,514,"Rice,Pepper"
33,515,"Rice,Pepper"
33,516,"Rice,Pepper"
33,517,"Rice,Pepper"
33,518,"Rice,Pepper"
33,519,"Rice,Pepper"
33,520,"Rice,Pepper"
33,521,"Rice,Pepper"
33,522,"Rice,Pepper"
33,523,"Rice,Pepper"
33,524,"Rice,Pepper"
33,525,"Rice,Pepper"
33,526,"Rice,Pepper"
33,527,"Rice,Pepper"
33,528,"Rice,Pepper"
33,529,"Rice,Pepper"
33,530,"Rice,Pepper"
33,531,"Rice,Pepper"
33,532,"Rice,Pepper"
33,533,"Rice,Pepper"
33,534,"Rice,Pepper"
33,535,"Rice,Pepper"
33,536,"Rice,Pepper"
33,537,"Rice,Pepper"
33,538,"Rice,Pepper"
33,539,"Rice,Pepper"
33,540,"Rice,Pepper"
33,541,"Rice,Pepper"
33,542,"Rice,Pepper"
33,543,"Rice,Pepper"
33,544,"Rice,Pepper"
33,545,"Rice,Pepper"
33,546,"Rice,Pepper"
33,547,"Rice,Pepper"
33,548,"Rice,Pepper"
33,549,"Rice,Pepper"
33,550,"Rice,Pepper,Sugar beet "
33,551,"Rice,Pepper,Sugar beet "
33,552,"Rice,Pepper,Sugar beet "
33,553,"Rice,Pepper,Sugar beet "
33,554,"Rice,Pepper,Sugar beet "
33,555,"Rice,Pepper,Sugar beet "
33,556,"Rice,Pepper,Sugar beet "
33,557,"Rice,Pepper,Sugar beet "
33,558,"Rice,Pepper,Sugar beet "
33,559,"Rice,Pepper,Sugar beet "
33,560,"Rice,Pepper,Sugar beet "
33,561,"Rice,Pepper,Sugar beet "
33,562,"Rice,Pepper,Sugar beet "
33,563,"Rice,Pepper,Sugar beet "
33,564,"Rice,Pepper,Sugar beet "
33,565,"Rice,Pepper,Sugar beet "
33,566,"Rice,Pepper,Sugar beet "
33,567,"Rice,Pepper,Sugar beet "
33,568,"Rice,Pepper,Sugar beet "
33,569,"Rice,Pepper,Sugar beet "
33,570,"Rice,Pepper,Sugar beet "
33,571,"Rice,Pepper,Sugar beet "
33,572,"Rice,Pepper,Sugar beet "
33,573,"Rice,Pepper,Sugar beet "
33,574,"Rice,Pepper,Sugar beet "
33,575,"Rice,Pepper,Sugar beet "
33,576,"Rice,Pepper,Sugar beet "
33,577,"Rice,Pepper,Sugar beet "
33,578,"Rice,Pepper,Sugar beet "
33,579,"Rice,Pepper,Sugar beet "
33,580,"Rice,Pepper,Sugar beet "
33,581,"Rice,Pepper,Sugar beet "
33,582,"Rice,Pepper,Sugar beet "
33,583,"Rice,Pepper,Sugar beet "
33,584,"Rice,Pepper,Sugar beet "
33,585,"Rice,Pepper,Sugar beet "
33,586,"Rice,Pepper,Sugar beet "
33,587,"Rice,Pepper,Sugar beet "
33,588,"Rice,Pepper,Sugar beet "
33,589,"Rice,Pepper,Sugar beet "
33,590,"Rice,Pepper,Sugar beet "
33,591,"Rice,Pepper,Sugar beet "
33,592,"Rice,Pepper,Sugar beet "
33,593,"Rice,Pepper,Sugar beet "
33,594,"Rice,Pepper,Sugar beet "
33,595,"Rice,Pepper,Sugar beet "
33,596,"Rice,Pepper,Sugar beet "
33,597,"Rice,Pepper,Sugar beet "
33,598,"Rice,Pepper,Sugar beet "
33,599,"Rice,Pepper,Sugar beet "
33,600,"Rice,Pepper,Sugar beet ,Sunflower"
33,601,"Rice,Pepper,Sugar beet ,Sunflower"
33,602,"Rice,Pepper,Sugar beet ,Sunflower"
33,603,"Rice,Pepper,Sugar beet ,Sunflower"
33,604,"Rice,Pepper,Sugar beet ,Sunflower"
33,605,"Rice,Pepper,Sugar beet ,Sunflower"
33,606,"Rice,Pepper,Sugar beet ,Sunflower"
33,607,"Rice,Pepper,Sugar beet ,Sunflower"
33,608,"Rice,Pepper,Sugar beet ,Sunflower"
33,609,"Rice,Pepper,Sugar beet ,Sunflower"
33,610,"Rice,Pepper,Sugar beet ,Sunflower"
33,611,"Rice,Pepper,Sugar beet ,Sunflower"
33,612,"Rice,Pepper,Sugar beet ,Sunflower"
33,613,"Rice,Pepper,Sugar beet ,Sunflower"
33,614,"Rice,Pepper,Sugar beet ,Sunflower"
33,615,"Rice,Pepper,Sugar beet ,Sunflower"
33,616,"Rice,Pepper,Sugar beet ,Sunflower"
33,617,"Rice,Pepper,Sugar beet ,Sunflower"
33,618,"Rice,Pepper,Sugar beet ,Sunflower"
33,619,"Rice,Pepper,Sugar beet ,Sunflower"
33,620,"Rice,Pepper,Sugar beet ,Sunflower"
33,621,"Rice,Pepper,Sugar beet ,Sunflower"
33,622,"Rice,Pepper,Sugar beet ,Sunflower"
33,623,"Rice,Pepper,Sugar beet ,Sunflower"
33,624,"Rice,Pepper,Sugar beet ,Sunflower"
